-1707.848  2.767684E-12  0  3.794206E-7  1.619791E-6
-1706.18  2.342043E-9  0  4.836725E-5  -1.628699E-6
-1704.513  9.437486E-9  0  9.700533E-5  -5.239545E-6
-1702.845  1.954114E-8  0  0.0001395052  -8.912362E-6
-1701.177  2.872526E-8  0  0.0001690349  -1.234782E-5
-1699.509  3.247119E-8  0  0.0001795486  -1.528068E-5
-1697.841  2.805242E-8  0  0.0001665711  -1.75071E-5
-1696.173  1.66995E-8  0  0.0001278365  -1.890295E-5
-1694.506  4.435049E-9  0  6.369832E-5  -1.943124E-5
-1692.838  8.838306E-10  0  -2.274968E-5  -1.913852E-5
-1691.17  1.617104E-8  0  -0.0001258647  -1.81412E-5
-1689.502  5.689474E-8  0  -0.0002379475  -1.660462E-5
-1687.834  1.227059E-7  0  -0.0003499848  -1.471801E-5
-1686.167  2.049723E-7  0  -0.0004525614  -1.266921E-5
-1684.499  2.88309E-7  0  -0.0005368391  -1.062254E-5
-1682.831  3.54682E-7  0  -0.0005954883  -8.702761E-6
-1681.163  3.887586E-7  0  -0.0006234659  -6.986703E-6
-1679.495  3.826312E-7  0  -0.0006185475  -5.50314E-6
-1677.827  3.382208E-7  0  -0.0005815521  -4.239969E-6
-1676.16  2.665083E-7  0  -0.0005162348  -3.156884E-6
-1674.492  1.839256E-7  0  -0.0004288599  -2.200897E-6
-1672.824  1.072627E-7  0  -0.0003275072  -1.321853E-6
-1671.156  4.892716E-8  0  -0.0002211943  -4.852434E-7
-1669.488  1.414142E-8  0  -0.0001189173  3.197178E-7
-1667.82  8.261831E-10  0  -2.872318E-5  1.077898E-6
-1666.153  1.859093E-9  0  4.308159E-5  1.751993E-6
-1664.485  8.561247E-9  0  9.249863E-5  2.291241E-6
-1662.817  1.395999E-8  0  0.0001181228  2.643299E-6
-1661.149  1.467827E-8  0  0.0001211223  2.766963E-6
-1659.481  1.101683E-8  0  0.0001049278  2.643308E-6
-1657.814  5.582274E-9  0  7.467972E-5  2.283133E-6
-1656.146  1.335992E-9  0  3.651029E-5  1.729254E-6
-1654.478  1.164595E-11  0  -3.246068E-6  1.053088E-6
-1652.81  1.506731E-9  0  -3.881509E-5  3.459697E-7
-1651.142  4.306932E-9  0  -6.562656E-5  -2.934796E-7
-1649.474  6.523942E-9  0  -8.076722E-5  -7.738726E-7
-1647.807  6.92284E-9  0  -8.319729E-5  -1.025105E-6
-1646.139  5.435258E-9  0  -7.371729E-5  -1.009583E-6
-1644.471  2.99302E-9  0  -5.470364E-5  -7.287253E-7
-1642.803  8.798133E-10  0  -2.96608E-5  -2.235614E-7
-1641.135  7.251609E-12  0  -2.6582E-6  4.307919E-7
-1639.468  4.971474E-10  0  2.226784E-5  1.136026E-6
-1637.8  1.739305E-9  0  4.166675E-5  1.785282E-6
-1636.132  2.825922E-9  0  5.311052E-5  2.279286E-6
-1634.464  3.082639E-9  0  5.546332E-5  2.541494E-6
-1632.796  2.403205E-9  0  4.895718E-5  2.529842E-6
-1631.128  1.235263E-9  0  3.507464E-5  2.243272E-6
-1629.461  2.675179E-10  0  1.626508E-5  1.721966E-6
-1627.793  2.095298E-11  0  -4.457448E-6  1.041218E-6
-1626.125  5.747956E-10  0  -2.397302E-5  2.998688E-7
-1624.457  1.560803E-9  0  -3.950502E-5  -3.949089E-7
-1622.789  2.401661E-9  0  -4.899765E-5  -9.441226E-7
-1621.122  2.640778E-9  0  -5.137275E-5  -1.272194E-6
-1619.454  2.176696E-9  0  -4.663587E-5  -1.338536E-6
-1617.786  1.284651E-9  0  -3.582378E-5  -1.143649E-6
-1616.118  4.335163E-10  0  -2.080829E-5  -7.287907E-7
-1614.45  1.595293E-11  0  -3.990524E-6  -1.692418E-7
-1612.782  1.457898E-10  0  1.206641E-5  4.377737E-7
-1611.115  6.265491E-10  0  2.501143E-5  9.8863E-7
-1609.447  1.093122E-9  0  3.303317E-5  1.389868E-6
-1607.779  1.234249E-9  0  3.509664E-5  1.573181E-6
-1606.111  9.669411E-10  0  3.105916E-5  1.506455E-6
-1604.443  4.70343E-10  0  2.165422E-5  1.199096E-6
-1602.775  7.022597E-11  0  8.350741E-6  7.007897E-7
-1601.108  4.743541E-11  0  -6.886698E-6  9.383356E-8
-1599.44  4.798238E-10  0  -2.189871E-5  -5.197741E-7
-1597.772  1.201511E-9  0  -3.464737E-5  -1.034505E-6
-1596.104  1.894272E-9  0  -4.350204E-5  -1.358205E-6
-1594.436  2.254016E-9  0  -4.745503E-5  -1.427075E-6
-1592.769  2.139517E-9  0  -4.623892E-5  -1.216375E-6
-1591.101  1.627276E-9  0  -4.033263E-5  -7.451044E-7
-1589.433  9.523325E-10  0  -3.08598E-5  -7.389767E-8
-1587.765  3.767942E-10  0  -1.939843E-5  7.036307E-7
-1586.097  6.197273E-11  0  -7.732897E-6  1.474798E-6
-1584.429  1.034045E-11  0  2.41354E-6  2.124918E-6
-1582.762  9.918799E-11  0  9.626029E-6  2.554908E-6
-1581.094  1.760139E-10  0  1.299006E-5  2.696714E-6
-1579.426  1.552653E-10  0  1.220221E-5  2.524162E-6
-1577.758  6.179036E-11  0  7.586633E-6  2.057512E-6
-1576.09  1.852589E-12  0  1.852813E-8  1.360972E-6
-1574.423  8.548911E-11  0  -9.230628E-6  5.334934E-7
-1572.755  3.49795E-10  0  -1.870031E-5  -3.058023E-7
-1571.087  7.283472E-10  0  -2.696804E-5  -1.03535E-6
-1569.419  1.082312E-9  0  -3.286201E-5  -1.549352E-6
-1567.751  1.272504E-9  0  -3.562805E-5  -1.773685E-6
